endpointName,Version
constants/Packages,0
constants/Sources,0
constants/Articles,0
constants/Users,0
constants/Bands,0
constants/ComponentTypes,0
constants/Colors,0
constants/CreditReasons,0
constants/Currencies,0
constants/Countries,0
constants/Divisions,0
constants/DivisionMethods,0
constants/Buyers,0
constants/AuctionGroups,0
constants/ProductGroups,0
constants/ArticleGroups,0
constants/Vats,0
constants/Sellers,0
constants/Stocks,0
constants/ReservationTexts,0
constants/CustomerGroups,0
constants/PaymentConditions,0
constants/FinancialAdministrations,0
constants/Customers,0
constants/Growers,0
constants/Suppliers,0
constants/CustomerGroupRelations,0
constants/Carriers,0
StockParcels,0
OrderlistAssortment,0
SalesDivisions,0
Sales,0
SalesHistory,0
SalesHistoryBouquets,0
SalesHistoryInvoiceHeaders,0
ShopLog,0
SalesHistoryCostAndRebates,0
Shipments,0
PurchaseHistory,0
Pickorders,0
Payments,0
PaymentHistory,0
BandRef,0
BandReflog,0
CustomerOrders,0
PackageHistory,0
InvoiceApproval,0
DivisionPriceLog,0
EntryControl,0
