endpointName,primary_key1,primary_key2,has_version
constants/Sources,id,,0
constants/Packages,packageId,,1
constants/Articles,id,,1
constants/Users,id,,0
constants/Bands,id,,0
constants/ComponentTypes,id,,0
constants/Colors,colorId,,1
constants/CreditReasons,,,1
constants/Currencies,id,,1
constants/Countries,id,,1
constants/Divisions,id,,1
constants/DivisionMethods,id,,0
constants/Buyers,buyerId,,1
constants/AuctionGroups,auctionGrp,,1
constants/ProductGroups,id,,1
constants/ArticleGroups,id,,1
constants/Vats,id,,1
constants/Sellers,id,,1
constants/Stocks,id,,1
constants/ReservationTexts,reservationTextId,,0
constants/CustomerGroups,customerGroupId,,1
constants/PaymentConditions,paymentCondtionId,,1
constants/FinancialAdministrations,id,,1
constants/Customers,customerId,,1
constants/Growers,growerId,,1
constants/Suppliers,supplierId,,1
constants/CustomerGroupRelations,customerId,customerGroupId,1
constants/Carriers,carrierId,,1
StockParcels,parcelId,,1
OrderlistAssortment,parcelId,,1
SalesDivisions,pKey,,1
Sales,salesRecordId,,1
SalesHistory,pKey,,1
SalesHistoryBouquets,pKey,,1
SalesHistoryInvoiceHeaders,invoiceNr,,1
ShopLog,logId,,1
SalesHistoryCostAndRebates,invoiceNr,,1
Shipments,shipmentId,,1
PurchaseHistory,pKey,,1
Pickorders,divisionId,,1
Payments,pKey,,1
PaymentHistory,pKey,,1
BandRef,pKey,,1
BandReflog,pKey,,1
CustomerOrders,orderId,,1
PackageHistory,pKey,,1
InvoiceApproval,pKey,,1
DivisionPriceLog,pKey,,1
EntryControl,entryControlId,,0
