
Request at: 2024-09-19 12:07:27.682047 		 constants/Articles 		 Version number: 111 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:44.566138 		 constants/Articles 		 Version number: 111 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:45.146410 		 constants/Articles 		 Version number: 553938 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:45.513605 		 constants/Articles 		 Version number: 562427 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:45.829989 		 constants/Articles 		 Version number: 590629 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:46.201831 		 constants/Articles 		 Version number: 592629 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:46.554528 		 constants/Articles 		 Version number: 712166 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:46.882788 		 constants/Articles 		 Version number: 714323 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:47.352704 		 constants/Articles 		 Version number: 716409 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:47.703416 		 constants/Articles 		 Version number: 718546 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:48.039291 		 constants/Articles 		 Version number: 720635 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:48.354901 		 constants/Articles 		 Version number: 722828 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:48.694509 		 constants/Articles 		 Version number: 725034 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:49.039531 		 constants/Articles 		 Version number: 727236 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:49.379850 		 constants/Articles 		 Version number: 729354 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:49.737666 		 constants/Articles 		 Version number: 731383 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:50.069821 		 constants/Articles 		 Version number: 733432 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:50.401407 		 constants/Articles 		 Version number: 735461 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:50.852692 		 constants/Articles 		 Version number: 737525 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:51.260502 		 constants/Articles 		 Version number: 739608 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:51.652299 		 constants/Articles 		 Version number: 741680 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:52.222565 		 constants/Articles 		 Version number: 743800 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:52.695868 		 constants/Articles 		 Version number: 745914 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:53.058405 		 constants/Articles 		 Version number: 748042 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:53.587469 		 constants/Articles 		 Version number: 750207 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:53.984988 		 constants/Articles 		 Version number: 752302 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:54.381875 		 constants/Articles 		 Version number: 1094129 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:54.760582 		 constants/Articles 		 Version number: 2467484 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:55.153874 		 constants/Articles 		 Version number: 2961358 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:55.587479 		 constants/Articles 		 Version number: 2963440 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:56.012937 		 constants/Articles 		 Version number: 5332921 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:56.477669 		 constants/Articles 		 Version number: 13367508 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:56.613595 		 constants/Articles 		 Version number: 13555559 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:56.731401 		 constants/Articles 		 Version number: 13555565 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:56.839261 		 constants/Articles 		 Version number: 13555567 		  Deleted: false 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:57.810171 		 constants/Articles 		 Version number: 111 		  Deleted: true 		 Status: 200 		 Server Ok
Request at: 2024-09-19 12:16:57.905076 		 constants/Articles 		 Version number: 5444293 		  Deleted: true 		 Status: 200 		 Server Ok
Parser: endpoint - constants/Users not in filter file (Endpoints.csv), please configure a filter for: constants/Users
